Querylength,domain_token_count,path_token_count,domainlength,pathLength,NumberofDotsinURL,URL_DigitCount,URL_Letter_Count,spcharUrl
0,2,12,17,62,1,2,69,9
0,3,2,16,7,2,0,20,0
0,2,2,22,1,1,0,21,0
0,2,5,14,22,1,0,31,3
0,4,4,14,26,4,0,38,2
0,2,6,12,31,1,5,32,4
0,3,8,11,33,6,1,34,2
10,2,5,10,32,2,3,33,2
0,2,2,20,1,1,0,19,0
55,3,3,20,65,3,4,71,12
0,3,3,11,16,3,0,23,0
0,2,4,12,17,1,0,25,1
24,12,5,126,97,15,42,163,1
0,3,4,16,31,2,0,42,0
0,2,2,13,3,1,0,14,0
0,2,3,10,17,2,0,24,1
0,2,4,12,22,1,0,30,0
0,2,2,9,1,1,0,8,0
0,2,3,17,22,2,4,32,0
0,4,8,17,42,4,0,49,2
0,2,2,17,1,1,0,16,0
0,3,11,15,90,3,10,87,8
0,3,6,19,38,4,0,54,1
0,2,12,18,80,1,8,78,10
0,3,7,17,52,2,5,60,4
0,2,3,22,10,2,0,29,1
10,3,3,18,23,3,6,30,2
52,2,3,26,72,2,3,86,7
0,2,6,14,30,1,1,37,3
13,2,2,11,19,1,2,25,2
0,2,2,10,11,1,0,19,1
0,3,2,30,1,2,0,28,0
0,2,4,8,24,2,0,28,0
24,2,2,6,43,3,10,32,4
0,3,2,24,1,2,0,22,0
0,2,1,11,13,1,0,23,0
0,2,11,15,64,1,5,67,11
0,2,1,8,4,1,0,11,0
0,2,5,10,19,1,6,18,2
0,3,5,16,25,3,2,32,3
0,3,5,18,20,3,6,26,0
0,2,7,19,60,2,7,65,3
7,3,3,18,17,3,0,34,3
0,2,2,12,14,1,0,24,0
0,2,4,11,22,2,3,26,1
0,2,3,11,22,1,0,30,1
0,2,2,21,1,1,0,20,0
0,2,6,10,30,2,1,33,3
23,7,8,39,44,7,11,54,7
0,4,4,22,34,3,11,43,3
0,3,4,16,26,2,0,37,2
13,2,2,11,19,1,2,25,2
0,2,15,6,84,1,6,73,13
0,2,7,10,27,1,0,30,3
0,2,17,10,95,1,9,79,11
68,3,3,22,78,3,1,88,13
0,2,1,11,11,1,0,21,0
0,2,16,18,147,7,42,107,1
0,4,4,24,18,2,6,30,2
0,2,5,12,38,1,0,45,3
0,2,7,10,49,1,10,42,4
0,2,2,12,5,1,0,15,0
0,2,4,11,31,1,0,38,2
0,3,6,25,22,2,0,44,4
0,3,2,16,9,3,0,26,1
0,3,8,16,42,2,0,49,6
29,2,3,27,39,2,8,52,4
0,2,16,13,79,1,8,72,11
0,2,9,6,55,2,7,45,7
0,2,6,15,37,2,0,46,4
45,2,3,11,53,2,12,58,9
0,2,1,20,0,1,0,19,0
0,2,9,13,64,1,0,68,3
0,3,9,15,47,2,5,47,5
0,3,4,22,32,1,6,41,5
0,4,3,13,18,4,11,19,1
13,2,15,10,98,1,12,84,16
102,2,6,26,127,3,30,106,18
42,3,3,14,46,2,6,49,7
20,2,5,10,41,2,4,39,5
88,4,3,31,98,4,11,103,16
0,3,2,36,1,2,0,34,0
0,3,2,16,15,3,0,32,1
0,2,4,12,29,2,0,37,0
53,2,3,15,63,2,2,67,12
0,3,10,21,60,2,6,64,8
0,2,4,10,28,1,0,34,2
0,4,5,14,36,3,0,43,0
0,1,5,5,22,1,0,22,1
0,2,4,9,21,1,0,26,0
0,5,3,41,23,5,0,57,1
0,1,13,5,64,5,1,54,3
0,3,1,38,0,1,0,36,1
20,2,3,15,23,2,0,37,4
0,3,3,16,19,2,0,31,1
0,2,3,8,19,1,7,17,0
0,3,2,20,1,1,0,18,1
0,2,5,20,38,2,0,57,1
0,2,3,8,17,2,1,21,0
21,3,3,12,31,3,2,38,5
0,3,3,16,21,2,0,32,2
0,2,1,11,0,1,0,10,0
0,2,13,13,74,1,9,69,9
0,3,1,18,12,2,0,32,1
0,2,4,18,24,1,0,38,1
0,3,2,26,1,2,0,24,0
0,2,2,17,1,1,0,16,0
0,2,5,9,32,1,1,35,2
0,3,5,23,33,3,0,54,2
0,2,3,21,14,1,0,36,1
0,3,2,20,10,1,5,22,1
14,4,15,32,127,3,3,142,12
0,3,2,20,12,2,0,29,0
0,3,2,19,13,3,0,29,0
0,2,3,9,19,2,0,25,0
5,2,5,10,37,2,8,33,3
0,3,5,25,36,3,12,43,1
0,2,5,11,23,2,1,28,2
0,2,2,10,1,1,3,6,0
0,2,8,11,41,2,1,43,2
0,3,3,16,36,1,0,52,2
0,2,10,13,48,2,6,45,6
0,3,4,18,29,3,0,41,2
0,3,7,14,58,2,21,47,1
0,2,9,12,63,1,0,70,6
0,4,5,23,30,4,0,50,3
10,3,2,25,11,2,3,28,2
0,3,4,21,20,2,0,36,1
0,2,2,18,9,2,0,25,0
69,3,3,15,79,3,11,69,16
0,3,4,18,25,2,6,32,1
0,2,2,17,1,1,0,16,0
0,2,5,8,31,2,0,34,1
23,2,3,12,33,2,0,39,4
0,2,13,14,100,5,29,72,2
0,2,7,10,43,1,10,36,4
0,3,2,16,10,2,0,23,0
0,3,2,22,6,2,0,25,0
44,3,3,13,85,6,2,73,10
0,3,3,16,16,2,4,24,0
0,2,6,16,27,2,14,23,1
0,14,4,74,119,11,19,162,5
53,3,3,13,61,6,1,57,3
0,2,9,17,47,1,7,48,7
0,2,2,17,1,1,0,16,0
0,2,3,20,11,1,0,28,0
60,3,6,16,91,3,28,73,5
0,3,2,14,10,3,0,25,1
0,4,6,20,33,4,0,49,2
18,3,4,16,43,3,0,52,3
60,2,5,10,93,2,14,76,9
0,2,2,14,1,1,0,13,0
0,2,3,12,25,1,5,29,1
0,2,6,20,48,2,0,66,1
0,4,2,14,6,2,2,14,1
0,4,4,18,28,2,9,31,2
75,3,3,19,85,3,2,91,13
0,2,11,23,68,1,8,72,7
0,2,7,10,50,1,10,43,4
8,2,2,15,15,1,1,25,3
21,2,3,20,30,2,2,42,4
0,8,5,57,44,3,18,76,6
0,2,1,21,0,1,0,20,0
0,3,5,16,22,2,0,32,3
0,3,3,26,18,3,0,44,1
0,2,4,14,32,1,3,39,3
0,3,11,14,68,2,8,66,9
47,2,3,11,57,2,4,57,10
0,3,3,16,19,2,0,31,1
0,2,3,8,15,1,7,13,0
0,2,2,12,12,1,1,26,1
0,2,2,14,1,1,0,13,0
0,2,14,14,96,2,8,88,10
0,2,2,12,15,1,0,25,0
0,2,4,6,20,1,0,22,1
13,2,2,11,19,1,3,24,2
0,2,6,6,43,1,0,42,6
0,4,20,24,119,3,20,105,17
0,2,5,14,29,1,0,38,2
0,4,5,23,22,4,0,38,1
13,2,2,16,14,1,0,27,2
0,2,17,13,79,2,6,73,15
0,3,3,13,10,2,0,19,0
0,2,6,18,53,1,12,51,5
291,7,5,45,325,3,48,283,31
0,2,2,9,73,1,25,35,25
13,2,3,13,30,2,5,34,2
0,4,1,18,9,2,0,24,1
6,2,6,6,72,1,17,40,22
0,2,13,15,66,1,8,60,9
0,4,3,13,19,4,12,19,1
99,4,3,40,109,4,7,123,20
0,2,3,23,17,2,0,37,0
7,2,2,18,8,1,5,18,2
